term,proposed_topic,source_batch
Quantization distortion,"Harmonics, Distortion & Nonlinearity",Batch 5
Phase distortion,"Harmonics, Distortion & Nonlinearity",Batch 5
Frequency-response distortion,"Harmonics, Distortion & Nonlinearity",Batch 5
Nonlinear transfer functions,"Harmonics, Distortion & Nonlinearity",Batch 5
Even-order harmonics,"Harmonics, Distortion & Nonlinearity",Batch 5
Odd-order harmonics,"Harmonics, Distortion & Nonlinearity",Batch 5
Saturation curves,"Harmonics, Distortion & Nonlinearity",Batch 5
Soft saturation,"Harmonics, Distortion & Nonlinearity",Batch 5
Hard saturation,"Harmonics, Distortion & Nonlinearity",Batch 5
Tube nonlinearity,"Harmonics, Distortion & Nonlinearity",Batch 5
Semiconductor nonlinearity,"Harmonics, Distortion & Nonlinearity",Batch 5
Waveshaping,"Harmonics, Distortion & Nonlinearity",Batch 5
Foldback distortion,"Harmonics, Distortion & Nonlinearity",Batch 5
Aliasing from nonlinear processing,"Harmonics, Distortion & Nonlinearity",Batch 5
Oversampling in nonlinear processors,"Harmonics, Distortion & Nonlinearity",Batch 5
Memory effects in nonlinear systems,"Harmonics, Distortion & Nonlinearity",Batch 5
Dynamic nonlinearities,"Harmonics, Distortion & Nonlinearity",Batch 5
Static nonlinearities,"Harmonics, Distortion & Nonlinearity",Batch 5
Distortion audibility,"Harmonics, Distortion & Nonlinearity",Batch 5
Masking of distortion products,"Harmonics, Distortion & Nonlinearity",Batch 5
Distortion versus coloration,"Harmonics, Distortion & Nonlinearity",Batch 5
Random noise,Noise (Concepts),Batch 5
Brown noise,Noise (Concepts),Batch 5
Blue noise,Noise (Concepts),Batch 5
Violet noise,Noise (Concepts),Batch 5
Gray noise,Noise (Concepts),Batch 5
Gaussian noise,Noise (Concepts),Batch 5
Uniform noise,Noise (Concepts),Batch 5
Dither noise,Noise (Concepts),Batch 5
Clock noise,Noise (Concepts),Batch 5
Power-supply noise,Noise (Concepts),Batch 5
Ground noise,Noise (Concepts),Batch 5
Common-mode noise,Noise (Concepts),Batch 5
Differential-mode noise,Noise (Concepts),Batch 5
Noise spectrum,Noise (Concepts),Batch 5
Noise density,Noise (Concepts),Batch 5
Noise figure,Noise (Concepts),Batch 5
Noise correlation,Noise (Concepts),Batch 5
Correlated noise,Noise (Concepts),Batch 5
Uncorrelated noise,Noise (Concepts),Batch 5
Noise summation,Noise (Concepts),Batch 5
Noise gating artifacts,Noise (Concepts),Batch 5
Noise masking,Noise (Concepts),Batch 5
Denoising artifacts,Noise (Concepts),Batch 5
Musical noise,Noise (Concepts),Batch 5
Analog-to-digital conversion,Digital Sampling & Conversion,Batch 5
Digital-to-analog conversion,Digital Sampling & Conversion,Batch 5
Sample clock,Digital Sampling & Conversion,Batch 5
Nyquist–Shannon sampling theorem,Digital Sampling & Conversion,Batch 5
Band-limited signals,Digital Sampling & Conversion,Batch 5
Foldover,Digital Sampling & Conversion,Batch 5
Anti-aliasing filtering,Digital Sampling & Conversion,Batch 5
Reconstruction filtering,Digital Sampling & Conversion,Batch 5
Zero-order hold,Digital Sampling & Conversion,Batch 5
Spectral images,Digital Sampling & Conversion,Batch 5
Sinc interpolation,Digital Sampling & Conversion,Batch 5
Band-limited interpolation,Digital Sampling & Conversion,Batch 5
Why digital audio is not simply a staircase,Digital Sampling & Conversion,Batch 5
Samples per cycle,Digital Sampling & Conversion,Batch 5
Frequency ambiguity near Nyquist,Digital Sampling & Conversion,Batch 5
Sample phase,Digital Sampling & Conversion,Batch 5
Polyphase filtering,Digital Sampling & Conversion,Batch 5
Integer-ratio conversion,Digital Sampling & Conversion,Batch 5
Fractional-ratio conversion,Digital Sampling & Conversion,Batch 5
Conversion filter quality,Digital Sampling & Conversion,Batch 5
Sample-rate conversion artifacts,Digital Sampling & Conversion,Batch 5
Periodic jitter,Digital Sampling & Conversion,Batch 5
Random jitter,Digital Sampling & Conversion,Batch 5
Jitter spectrum,Digital Sampling & Conversion,Batch 5
Aperture uncertainty,Digital Sampling & Conversion,Batch 5
Reclocking,Digital Sampling & Conversion,Batch 5
Master and slave clocking,Digital Sampling & Conversion,Batch 5
Sample slips,Digital Sampling & Conversion,Batch 5
Buffer underflow,Digital Sampling & Conversion,Batch 5
Buffer overflow,Digital Sampling & Conversion,Batch 5
Asynchronous sample-rate conversion,Digital Sampling & Conversion,Batch 5
Converter noise and distortion limits,Digital Sampling & Conversion,Batch 5
Quantization levels,Quantization & Numerical Resolution,Batch 5
Quantization step size,Quantization & Numerical Resolution,Batch 5
Word length,Quantization & Numerical Resolution,Batch 5
Least significant bit,Quantization & Numerical Resolution,Batch 5
Most significant bit,Quantization & Numerical Resolution,Batch 5
Quantization error,Quantization & Numerical Resolution,Batch 5
Quantization noise model,Quantization & Numerical Resolution,Batch 5
Correlated quantization distortion,Quantization & Numerical Resolution,Batch 5
Rounding,Quantization & Numerical Resolution,Batch 5
Truncation,Quantization & Numerical Resolution,Batch 5
Requantization,Quantization & Numerical Resolution,Batch 5
Rectangular dither,Quantization & Numerical Resolution,Batch 5
Triangular dither,Quantization & Numerical Resolution,Batch 5
Noise-shaped dither,Quantization & Numerical Resolution,Batch 5
Subtractive dither,Quantization & Numerical Resolution,Batch 5
Dither decorrelation,Quantization & Numerical Resolution,Batch 5
Low-level signal preservation,Quantization & Numerical Resolution,Batch 5
Theoretical dynamic range,Quantization & Numerical Resolution,Batch 5
Integer PCM,Quantization & Numerical Resolution,Batch 5
Signed PCM,Quantization & Numerical Resolution,Batch 5
Unsigned PCM,Quantization & Numerical Resolution,Batch 5
Two's-complement representation,Quantization & Numerical Resolution,Batch 5
Fixed-point arithmetic,Quantization & Numerical Resolution,Batch 5
Floating-point arithmetic,Quantization & Numerical Resolution,Batch 5
Mantissa or significand,Quantization & Numerical Resolution,Batch 5
Exponent,Quantization & Numerical Resolution,Batch 5
Floating-point headroom,Quantization & Numerical Resolution,Batch 5
Floating-point precision,Quantization & Numerical Resolution,Batch 5
Denormal numbers,Quantization & Numerical Resolution,Batch 5
Numerical overflow,Quantization & Numerical Resolution,Batch 5
Numerical underflow,Quantization & Numerical Resolution,Batch 5
Accumulator precision,Quantization & Numerical Resolution,Batch 5
Rounding accumulation,Quantization & Numerical Resolution,Batch 5
Internal processing precision,Quantization & Numerical Resolution,Batch 5
Export bit depth versus processing bit depth,Quantization & Numerical Resolution,Batch 5
Why 32-bit float does not repair ADC clipping,Quantization & Numerical Resolution,Batch 5
Why nominal 24-bit recording does not provide 24 usable bits,Quantization & Numerical Resolution,Batch 5
Discrete-time signals,DSP Concepts,Batch 5
Discrete-valued signals,DSP Concepts,Batch 5
Difference equations,DSP Concepts,Batch 5
Linear convolution,DSP Concepts,Batch 5
Circular convolution,DSP Concepts,Batch 5
Unit impulse,DSP Concepts,Batch 5
System response,DSP Concepts,Batch 5
Time invariance,DSP Concepts,Batch 5
Causality,DSP Concepts,Batch 5
Stability,DSP Concepts,Batch 5
Finite impulse response,DSP Concepts,Batch 5
Infinite impulse response,DSP Concepts,Batch 5
Recursive processing,DSP Concepts,Batch 5
Feedback in digital filters,DSP Concepts,Batch 5
Delay elements,DSP Concepts,Batch 5
Z-plane,DSP Concepts,Batch 5
Stability regions,DSP Concepts,Batch 5
Inverse Fourier transform,DSP Concepts,Batch 5
Time-frequency duality,DSP Concepts,Batch 5
Frequency-bin spacing,DSP Concepts,Batch 5
FFT resolution,DSP Concepts,Batch 5
Time resolution versus frequency resolution,DSP Concepts,Batch 5
Window functions,DSP Concepts,Batch 5
Rectangular window,DSP Concepts,Batch 5
Side lobes,DSP Concepts,Batch 5
Scalloping loss,DSP Concepts,Batch 5
Coherent sampling,DSP Concepts,Batch 5
Overlap processing,DSP Concepts,Batch 5
Spectrogram interpretation,DSP Concepts,Batch 5
Wavelet analysis,DSP Concepts,Batch 5
Envelope extraction,DSP Concepts,Batch 5
Cross-spectrum,DSP Concepts,Batch 5
Auto-spectrum,DSP Concepts,Batch 5
Transfer-function estimation,DSP Concepts,Batch 5
System identification,DSP Concepts,Batch 5
Finite precision effects,DSP Concepts,Batch 5
Processing latency,DSP Concepts,Batch 5
Block processing,DSP Concepts,Batch 5
Real-time versus offline processing,DSP Concepts,Batch 5
Audio codec versus container,Audio File Formats & Data,Batch 5
Uncompressed PCM,Audio File Formats & Data,Batch 5
Lossless compression,Audio File Formats & Data,Batch 5
Constant bit rate,Audio File Formats & Data,Batch 5
Variable bit rate,Audio File Formats & Data,Batch 5
Sample rate versus bit rate,Audio File Formats & Data,Batch 5
Bit depth versus bit rate,Audio File Formats & Data,Batch 5
Channel count and data rate,Audio File Formats & Data,Batch 5
Interleaved versus planar audio,Audio File Formats & Data,Batch 5
Byte order,Audio File Formats & Data,Batch 5
Big-endian versus little-endian storage,Audio File Formats & Data,Batch 5
File headers,Audio File Formats & Data,Batch 5
Embedded loudness metadata,Audio File Formats & Data,Batch 5
Psychoacoustic coding,Audio File Formats & Data,Batch 5
Perceptual masking in codecs,Audio File Formats & Data,Batch 5
Transform coding,Audio File Formats & Data,Batch 5
Temporal masking in codecs,Audio File Formats & Data,Batch 5
Pre-echo artifacts,Audio File Formats & Data,Batch 5
Tonal noise artifacts,Audio File Formats & Data,Batch 5
Stereo coupling,Audio File Formats & Data,Batch 5
Mid/side coding,Audio File Formats & Data,Batch 5
Codec generation loss,Audio File Formats & Data,Batch 5
Transcoding loss,Audio File Formats & Data,Batch 5
Normalization metadata,Audio File Formats & Data,Batch 5
Gapless playback,Audio File Formats & Data,Batch 5
Sample-accurate file boundaries,Audio File Formats & Data,Batch 5
Inter-sample peaks after encoding,Audio File Formats & Data,Batch 5
Dither during format conversion,Audio File Formats & Data,Batch 5
File-size calculations,Audio File Formats & Data,Batch 5
Pressure microphones,Microphone Concepts,Batch 5
Pressure-gradient microphones,Microphone Concepts,Batch 5
Velocity-sensitive microphones,Microphone Concepts,Batch 5
Omnidirectional behavior,Microphone Concepts,Batch 5
Directional behavior,Microphone Concepts,Batch 5
Polar patterns,Microphone Concepts,Batch 5
Cardioid formation,Microphone Concepts,Batch 5
Supercardioid pattern,Microphone Concepts,Batch 5
Hypercardioid pattern,Microphone Concepts,Batch 5
Figure-eight pattern,Microphone Concepts,Batch 5
Frequency-dependent polar response,Microphone Concepts,Batch 5
Pressure doubling at boundaries,Microphone Concepts,Batch 5
Diaphragm size versus behavior,Microphone Concepts,Batch 5
Transducer sensitivity,Microphone Concepts,Batch 5
Acoustic labyrinths,Microphone Concepts,Batch 5
Rear-port delay networks,Microphone Concepts,Batch 5
Interference tubes,Microphone Concepts,Batch 5
Condenser polarization,Microphone Concepts,Batch 5
Dynamic-microphone induction,Microphone Concepts,Batch 5
Ribbon-microphone operation,Microphone Concepts,Batch 5
Ribbon loading,Microphone Concepts,Batch 5
Transformer effects,Microphone Concepts,Batch 5
Balanced microphone lines,Microphone Concepts,Batch 5
Microphone preamplifier noise,Microphone Concepts,Batch 5
Critical distance and microphone placement,Microphone Concepts,Batch 5
Distance factor,Microphone Concepts,Batch 5
Phase interaction between microphones,Microphone Concepts,Batch 5
3:1 placement guideline,Microphone Concepts,Batch 5
Coincident stereo arrays,Microphone Concepts,Batch 5
Near-coincident arrays,Microphone Concepts,Batch 5
Spaced arrays,Microphone Concepts,Batch 5
Ambisonic microphones,Microphone Concepts,Batch 5
Mid/side recording,Microphone Concepts,Batch 5
Blumlein configuration,Microphone Concepts,Batch 5
Boundary microphones,Microphone Concepts,Batch 5
Moving-coil loudspeaker operation,Loudspeaker Concepts,Batch 5
Electromagnetic force,Loudspeaker Concepts,Batch 5
Cone motion,Loudspeaker Concepts,Batch 5
Diaphragm breakup,Loudspeaker Concepts,Batch 5
Piston-band operation,Loudspeaker Concepts,Batch 5
Back electromotive force,Loudspeaker Concepts,Batch 5
Loudspeaker impedance,Loudspeaker Concepts,Batch 5
Nominal versus actual impedance,Loudspeaker Concepts,Batch 5
Impedance curves,Loudspeaker Concepts,Batch 5
Resonant impedance peak,Loudspeaker Concepts,Batch 5
Sensitivity versus efficiency,Loudspeaker Concepts,Batch 5
Excursion limits,Loudspeaker Concepts,Batch 5
Linear excursion,Loudspeaker Concepts,Batch 5
Mechanical excursion,Loudspeaker Concepts,Batch 5
Cone displacement,Loudspeaker Concepts,Batch 5
Beam narrowing,Loudspeaker Concepts,Batch 5
Driver spacing,Loudspeaker Concepts,Batch 5
Crossover interference,Loudspeaker Concepts,Batch 5
Acoustic-center offset,Loudspeaker Concepts,Batch 5
Coaxial loudspeakers,Loudspeaker Concepts,Batch 5
Point-source approximation,Loudspeaker Concepts,Batch 5
Line-source approximation,Loudspeaker Concepts,Batch 5
Acoustic impedance transformation,Loudspeaker Concepts,Batch 5
Horn directivity,Loudspeaker Concepts,Batch 5
Constant-directivity horns,Loudspeaker Concepts,Batch 5
Waveguides,Loudspeaker Concepts,Batch 5
Compression drivers,Loudspeaker Concepts,Batch 5
Phase plugs,Loudspeaker Concepts,Batch 5
Ported enclosures,Loudspeaker Concepts,Batch 5
Sealed enclosures,Loudspeaker Concepts,Batch 5
Passive radiators,Loudspeaker Concepts,Batch 5
Transmission lines,Loudspeaker Concepts,Batch 5
Band-pass enclosures,Loudspeaker Concepts,Batch 5
Port air velocity,Loudspeaker Concepts,Batch 5
Group delay in loudspeaker systems,Loudspeaker Concepts,Batch 5
Cardioid subwoofer arrays,Loudspeaker Concepts,Batch 5
End-fire arrays,Loudspeaker Concepts,Batch 5
Gradient arrays,Loudspeaker Concepts,Batch 5
Broadside arrays,Loudspeaker Concepts,Batch 5
Steering,Loudspeaker Concepts,Batch 5
Electronic beamforming,Loudspeaker Concepts,Batch 5
Line arrays,Loudspeaker Concepts,Batch 5
Line-array curvature,Loudspeaker Concepts,Batch 5
Cylindrical spreading assumptions,Loudspeaker Concepts,Batch 5
Near-field and far-field transitions,Loudspeaker Concepts,Batch 5
Splay angles,Loudspeaker Concepts,Batch 5
Grating lobes,Loudspeaker Concepts,Batch 5
Array coherence,Loudspeaker Concepts,Batch 5
Acoustic crossover between array elements,Loudspeaker Concepts,Batch 5
Capacitance,Amplifiers & Electrical Audio,Batch 5
Inductance,Amplifiers & Electrical Audio,Batch 5
Electrical power,Amplifiers & Electrical Audio,Batch 5
Alternating current,Amplifiers & Electrical Audio,Batch 5
Direct current,Amplifiers & Electrical Audio,Batch 5
Peak voltage,Amplifiers & Electrical Audio,Batch 5
Balanced signaling,Amplifiers & Electrical Audio,Batch 5
Unbalanced signaling,Amplifiers & Electrical Audio,Batch 5
Differential signaling,Amplifiers & Electrical Audio,Batch 5
Grounding,Amplifiers & Electrical Audio,Batch 5
Ground loops,Amplifiers & Electrical Audio,Batch 5
Signal ground versus safety ground,Amplifiers & Electrical Audio,Batch 5
Isolation transformers,Amplifiers & Electrical Audio,Batch 5
Input impedance,Amplifiers & Electrical Audio,Batch 5
Source-load interaction,Amplifiers & Electrical Audio,Batch 5
Maximum power transfer,Amplifiers & Electrical Audio,Batch 5
Voltage-divider effects,Amplifiers & Electrical Audio,Batch 5
Cable inductance,Amplifiers & Electrical Audio,Batch 5
Cable resistance,Amplifiers & Electrical Audio,Batch 5
Transmission-line behavior,Amplifiers & Electrical Audio,Batch 5
Reflections in digital cables,Amplifiers & Electrical Audio,Batch 5
Amplifier gain,Amplifiers & Electrical Audio,Batch 5
Voltage sensitivity,Amplifiers & Electrical Audio,Batch 5
Amplifier clipping,Amplifiers & Electrical Audio,Batch 5
Output-current limiting,Amplifiers & Electrical Audio,Batch 5
Thermal limiting,Amplifiers & Electrical Audio,Batch 5
Class A amplification,Amplifiers & Electrical Audio,Batch 5
Class B amplification,Amplifiers & Electrical Audio,Batch 5
Class AB amplification,Amplifiers & Electrical Audio,Batch 5
Class D amplification,Amplifiers & Electrical Audio,Batch 5
Feedback stability,Amplifiers & Electrical Audio,Batch 5
Bridged amplifier operation,Amplifiers & Electrical Audio,Batch 5
Parallel amplifier operation,Amplifiers & Electrical Audio,Batch 5
Constant-voltage distributed systems,Amplifiers & Electrical Audio,Batch 5
70-volt and 100-volt systems,Amplifiers & Electrical Audio,Batch 5
Transformer taps,Amplifiers & Electrical Audio,Batch 5
Loudspeaker load calculations,Amplifiers & Electrical Audio,Batch 5
Series and parallel loads,Amplifiers & Electrical Audio,Batch 5
Reactive loudspeaker loads,Amplifiers & Electrical Audio,Batch 5
Serial digital audio,Audio Networking & Transport (Concepts),Batch 5
Parallel digital audio,Audio Networking & Transport (Concepts),Batch 5
Bit clock,Audio Networking & Transport (Concepts),Batch 5
Frame clock,Audio Networking & Transport (Concepts),Batch 5
Embedded clocking,Audio Networking & Transport (Concepts),Batch 5
Jitter accumulation,Audio Networking & Transport (Concepts),Batch 5
Synchronization,Audio Networking & Transport (Concepts),Batch 5
Sample-accurate synchronization,Audio Networking & Transport (Concepts),Batch 5
Linear timecode,Audio Networking & Transport (Concepts),Batch 5
MIDI timecode,Audio Networking & Transport (Concepts),Batch 5
Precision Time Protocol,Audio Networking & Transport (Concepts),Batch 5
Network clock domains,Audio Networking & Transport (Concepts),Batch 5
Packetized audio,Audio Networking & Transport (Concepts),Batch 5
Deterministic latency,Audio Networking & Transport (Concepts),Batch 5
Variable latency,Audio Networking & Transport (Concepts),Batch 5
Jitter buffers,Audio Networking & Transport (Concepts),Batch 5
Packet reordering,Audio Networking & Transport (Concepts),Batch 5
Error correction,Audio Networking & Transport (Concepts),Batch 5
Redundant networking,Audio Networking & Transport (Concepts),Batch 5
Multicast,Audio Networking & Transport (Concepts),Batch 5
Unicast,Audio Networking & Transport (Concepts),Batch 5
Quality of service,Audio Networking & Transport (Concepts),Batch 5
Channel count calculations,Audio Networking & Transport (Concepts),Batch 5
Sample-rate effects on network load,Audio Networking & Transport (Concepts),Batch 5
Bit-depth effects on network load,Audio Networking & Transport (Concepts),Batch 5
Discovery and subscription,Audio Networking & Transport (Concepts),Batch 5
Clock-master election,Audio Networking & Transport (Concepts),Batch 5
Boundary clocks,Audio Networking & Transport (Concepts),Batch 5
Transparent clocks,Audio Networking & Transport (Concepts),Batch 5
Network topology,Audio Networking & Transport (Concepts),Batch 5
Layer 2 versus Layer 3 transport,Audio Networking & Transport (Concepts),Batch 5
Virtual local area networks,Audio Networking & Transport (Concepts),Batch 5
Spanning tree,Audio Networking & Transport (Concepts),Batch 5
Link aggregation,Audio Networking & Transport (Concepts),Batch 5
Sample-rate mismatch across devices,Audio Networking & Transport (Concepts),Batch 5
Asynchronous endpoints,Audio Networking & Transport (Concepts),Batch 5
Buffering and end-to-end latency,Audio Networking & Transport (Concepts),Batch 5
Networked-audio troubleshooting,Audio Networking & Transport (Concepts),Batch 5
Hearing threshold,Psychoacoustics & Hearing,Batch 5
Audible frequency range,Psychoacoustics & Hearing,Batch 5
Age-related high-frequency loss,Psychoacoustics & Hearing,Batch 5
Outer-ear filtering,Psychoacoustics & Hearing,Batch 5
Middle-ear transfer,Psychoacoustics & Hearing,Batch 5
Cochlear mechanics,Psychoacoustics & Hearing,Batch 5
Basilar-membrane frequency mapping,Psychoacoustics & Hearing,Batch 5
Hair-cell transduction,Psychoacoustics & Hearing,Batch 5
Auditory nerve firing,Psychoacoustics & Hearing,Batch 5
Binaural summation,Psychoacoustics & Hearing,Batch 5
Localization,Psychoacoustics & Hearing,Batch 5
Head-related transfer functions,Psychoacoustics & Hearing,Batch 5
Pinna cues,Psychoacoustics & Hearing,Batch 5
Front-back confusion,Psychoacoustics & Hearing,Batch 5
Elevation perception,Psychoacoustics & Hearing,Batch 5
Harmonic grouping,Psychoacoustics & Hearing,Batch 5
Temporal grouping,Psychoacoustics & Hearing,Batch 5
Selective attention,Psychoacoustics & Hearing,Batch 5
Auditory adaptation,Psychoacoustics & Hearing,Batch 5
Auditory fatigue,Psychoacoustics & Hearing,Batch 5
Diplacusis,Psychoacoustics & Hearing,Batch 5
Occlusion effect,Psychoacoustics & Hearing,Batch 5
Bone conduction,Psychoacoustics & Hearing,Batch 5
Air conduction,Psychoacoustics & Hearing,Batch 5
Binaural beats,Psychoacoustics & Hearing,Batch 5
Combination tones,Psychoacoustics & Hearing,Batch 5
Auditory illusions,Psychoacoustics & Hearing,Batch 5
Phantom fundamental,Psychoacoustics & Hearing,Batch 5
Shepard tones,Psychoacoustics & Hearing,Batch 5
Tritone paradox,Psychoacoustics & Hearing,Batch 5
McGurk-style audiovisual influence on speech,Psychoacoustics & Hearing,Batch 5
Expectation bias,Psychoacoustics & Hearing,Batch 5
Loudness bias,Psychoacoustics & Hearing,Batch 5
Sighted versus blind listening,Psychoacoustics & Hearing,Batch 5
Listener training and perceptual learning,Psychoacoustics & Hearing,Batch 5
Intensity stereophony,"Stereo, Binaural & Spatial Audio",Batch 5
Time-difference stereophony,"Stereo, Binaural & Spatial Audio",Batch 5
Phase-difference stereophony,"Stereo, Binaural & Spatial Audio",Batch 5
Coincident stereo,"Stereo, Binaural & Spatial Audio",Batch 5
Near-coincident stereo,"Stereo, Binaural & Spatial Audio",Batch 5
Spaced-pair stereo,"Stereo, Binaural & Spatial Audio",Batch 5
Mid/side stereo,"Stereo, Binaural & Spatial Audio",Batch 5
Sum-and-difference matrices,"Stereo, Binaural & Spatial Audio",Batch 5
Interchannel correlation,"Stereo, Binaural & Spatial Audio",Batch 5
Negative correlation,"Stereo, Binaural & Spatial Audio",Batch 5
Phase-scope interpretation,"Stereo, Binaural & Spatial Audio",Batch 5
Image shift with listener movement,"Stereo, Binaural & Spatial Audio",Batch 5
Individualized HRTFs,"Stereo, Binaural & Spatial Audio",Batch 5
Head tracking,"Stereo, Binaural & Spatial Audio",Batch 5
Spherical harmonics,"Stereo, Binaural & Spatial Audio",Batch 5
Ambisonic encoding,"Stereo, Binaural & Spatial Audio",Batch 5
Ambisonic decoding,"Stereo, Binaural & Spatial Audio",Batch 5
Sound-field rotation,"Stereo, Binaural & Spatial Audio",Batch 5
Sound-field translation,"Stereo, Binaural & Spatial Audio",Batch 5
Scene-based audio,"Stereo, Binaural & Spatial Audio",Batch 5
Bed channels,"Stereo, Binaural & Spatial Audio",Batch 5
Audio objects,"Stereo, Binaural & Spatial Audio",Batch 5
Metadata-driven rendering,"Stereo, Binaural & Spatial Audio",Batch 5
Distance-based amplitude panning,"Stereo, Binaural & Spatial Audio",Batch 5
Higher-order spatial aliasing,"Stereo, Binaural & Spatial Audio",Batch 5
Elevation channels,"Stereo, Binaural & Spatial Audio",Batch 5
Height localization,"Stereo, Binaural & Spatial Audio",Batch 5
Downmixing,"Stereo, Binaural & Spatial Audio",Batch 5
Fold-down compatibility,"Stereo, Binaural & Spatial Audio",Batch 5
Binaural rendering of immersive mixes,"Stereo, Binaural & Spatial Audio",Batch 5
Measurement signal versus program material,Measurement & Analysis (Concepts),Batch 5
Reference calibration,Measurement & Analysis (Concepts),Batch 5
Accuracy versus precision,Measurement & Analysis (Concepts),Batch 5
Tolerance,Measurement & Analysis (Concepts),Batch 5
Measurement microphone calibration,Measurement & Analysis (Concepts),Batch 5
Random-incidence calibration,Measurement & Analysis (Concepts),Batch 5
Sound-level meter time weighting,Measurement & Analysis (Concepts),Batch 5
Fast weighting,Measurement & Analysis (Concepts),Batch 5
Slow weighting,Measurement & Analysis (Concepts),Batch 5
Impulse weighting,Measurement & Analysis (Concepts),Batch 5
Frequency weighting,Measurement & Analysis (Concepts),Batch 5
A weighting,Measurement & Analysis (Concepts),Batch 5
C weighting,Measurement & Analysis (Concepts),Batch 5
Peak sound pressure,Measurement & Analysis (Concepts),Batch 5
Dose,Measurement & Analysis (Concepts),Batch 5
Real-time analysis,Measurement & Analysis (Concepts),Batch 5
Fractional-octave analysis,Measurement & Analysis (Concepts),Batch 5
Constant-percentage bandwidth,Measurement & Analysis (Concepts),Batch 5
Constant-Hz bandwidth,Measurement & Analysis (Concepts),Batch 5
Fractional-octave smoothing,Measurement & Analysis (Concepts),Batch 5
Psychoacoustic smoothing,Measurement & Analysis (Concepts),Batch 5
Time averaging,Measurement & Analysis (Concepts),Batch 5
Frequency-response measurement,Measurement & Analysis (Concepts),Batch 5
Reference-channel delay,Measurement & Analysis (Concepts),Batch 5
Spectrograph,Measurement & Analysis (Concepts),Batch 5
Wavelet spectrogram,Measurement & Analysis (Concepts),Batch 5
Group-delay plot,Measurement & Analysis (Concepts),Batch 5
Excess-phase plot,Measurement & Analysis (Concepts),Batch 5
Minimum-phase derivation,Measurement & Analysis (Concepts),Batch 5
Windowing an impulse response,Measurement & Analysis (Concepts),Batch 5
Gating reflections,Measurement & Analysis (Concepts),Batch 5
Near-field loudspeaker measurement,Measurement & Analysis (Concepts),Batch 5
Merging near-field and far-field responses,Measurement & Analysis (Concepts),Batch 5
Polar measurement,Measurement & Analysis (Concepts),Batch 5
Directivity balloon,Measurement & Analysis (Concepts),Batch 5
Spinorama-style data,Measurement & Analysis (Concepts),Batch 5
Balloon interpolation,Measurement & Analysis (Concepts),Batch 5
Measurement noise floor,Measurement & Analysis (Concepts),Batch 5
Distortion measurement,Measurement & Analysis (Concepts),Batch 5
Multitone testing,Measurement & Analysis (Concepts),Batch 5
Maximum-length sequence measurement,Measurement & Analysis (Concepts),Batch 5
Transfer-function averaging,Measurement & Analysis (Concepts),Batch 5
Vector averaging,Measurement & Analysis (Concepts),Batch 5
Calibration offsets,Measurement & Analysis (Concepts),Batch 5
Measurement latency,Measurement & Analysis (Concepts),Batch 5
Clock mismatch during measurement,Measurement & Analysis (Concepts),Batch 5
Ringing out a system,Live Sound & System Optimization,Batch 5
Feedback loop gain,Live Sound & System Optimization,Batch 5
Feedback stability margin,Live Sound & System Optimization,Batch 5
Open-loop versus closed-loop behavior,Live Sound & System Optimization,Batch 5
Microphone-loudspeaker geometry,Live Sound & System Optimization,Batch 5
Uniformity,Live Sound & System Optimization,Batch 5
Directivity control,Live Sound & System Optimization,Batch 5
Loudspeaker aiming,Live Sound & System Optimization,Batch 5
Acoustic overlap,Live Sound & System Optimization,Batch 5
Acoustic crossover zones,Live Sound & System Optimization,Batch 5
Delay speakers,Live Sound & System Optimization,Batch 5
Under-balcony fills,Live Sound & System Optimization,Batch 5
Out fills,Live Sound & System Optimization,Batch 5
Distributed systems,Live Sound & System Optimization,Batch 5
Magnitude summation,Live Sound & System Optimization,Batch 5
Main-to-sub timing,Live Sound & System Optimization,Batch 5
Boundary interaction,Live Sound & System Optimization,Batch 5
Stage spill,Live Sound & System Optimization,Batch 5
Monitor gain before feedback,Live Sound & System Optimization,Batch 5
In-ear monitor isolation,Live Sound & System Optimization,Batch 5
Latency in monitoring systems,Live Sound & System Optimization,Batch 5
Comb filtering from multiple loudspeakers,Live Sound & System Optimization,Batch 5
Subwoofer lobing,Live Sound & System Optimization,Batch 5
Array steering,Live Sound & System Optimization,Batch 5
Delay shading,Live Sound & System Optimization,Batch 5
Frequency shading,Live Sound & System Optimization,Batch 5
Coverage versus throw,Live Sound & System Optimization,Batch 5
Temperature and humidity effects,Live Sound & System Optimization,Batch 5
Wind effects,Live Sound & System Optimization,Batch 5
Outdoor propagation,Live Sound & System Optimization,Batch 5
Empty-room versus occupied-room response,Live Sound & System Optimization,Batch 5
System equalization versus room correction,Live Sound & System Optimization,Batch 5
Measurement-position dependency,Live Sound & System Optimization,Batch 5
Spatial averaging for system tuning,Live Sound & System Optimization,Batch 5
Target curves,Live Sound & System Optimization,Batch 5
House curves,Live Sound & System Optimization,Batch 5
Tonal balance versus flatness,Live Sound & System Optimization,Batch 5
System optimization under time constraints,Live Sound & System Optimization,Batch 5
Gain staging through a recording chain,Recording & Studio Concepts,Batch 5
Microphone placement as spectral control,Recording & Studio Concepts,Batch 5
Room-to-direct balance,Recording & Studio Concepts,Batch 5
Early-reflection coloration,Recording & Studio Concepts,Batch 5
Multi-microphone time alignment,Recording & Studio Concepts,Batch 5
Polarity checking,Recording & Studio Concepts,Batch 5
