term,topic
Harmonicity cue,Psychoacoustics & Hearing Science
Onset synchrony,Psychoacoustics & Hearing Science
Spectral spread,Psychoacoustics & Hearing Science
Temporal envelope,Psychoacoustics & Hearing Science
Fine-structure cue,Psychoacoustics & Hearing Science
HRTF,Spatial Audio & Reproduction Science
Head-related impulse response,Spatial Audio & Reproduction Science
HRIR,Spatial Audio & Reproduction Science
Interaural phase difference,Spatial Audio & Reproduction Science
Interaural cross-correlation,Spatial Audio & Reproduction Science
Cone of confusion,Spatial Audio & Reproduction Science
Front–back reversal,Spatial Audio & Reproduction Science
Externalization,Spatial Audio & Reproduction Science
Intracranial localization,Spatial Audio & Reproduction Science
Auditory parallax,Spatial Audio & Reproduction Science
Dynamic localization cue,Spatial Audio & Reproduction Science
Head-motion cue,Spatial Audio & Reproduction Science
Pinna cue,Spatial Audio & Reproduction Science
Spectral notch,Spatial Audio & Reproduction Science
Binaural room impulse response,Spatial Audio & Reproduction Science
BRIR,Spatial Audio & Reproduction Science
Binaural synthesis,Spatial Audio & Reproduction Science
Binaural rendering,Spatial Audio & Reproduction Science
Crosstalk cancellation,Spatial Audio & Reproduction Science
Transaural reproduction,Spatial Audio & Reproduction Science
Ambisonics,Spatial Audio & Reproduction Science
Spherical harmonic decomposition,Spatial Audio & Reproduction Science
Ambisonic order,Spatial Audio & Reproduction Science
Ambisonic normalization,Spatial Audio & Reproduction Science
Near-field compensation,Spatial Audio & Reproduction Science
Radial filter,Spatial Audio & Reproduction Science
Plane-wave decomposition,Spatial Audio & Reproduction Science
Wave-field synthesis,Spatial Audio & Reproduction Science
Kirchhoff–Helmholtz integral,Spatial Audio & Reproduction Science
Huygens principle,Spatial Audio & Reproduction Science
Sound-field synthesis,Spatial Audio & Reproduction Science
Sound-zone control,Spatial Audio & Reproduction Science
Personal sound zone,Spatial Audio & Reproduction Science
Acoustic contrast control,Spatial Audio & Reproduction Science
Pressure matching,Spatial Audio & Reproduction Science
Multizone reproduction,Spatial Audio & Reproduction Science
Instantaneous amplitude,"Electroacoustics, DSP & Measurement Science"
Instantaneous phase,"Electroacoustics, DSP & Measurement Science"
Instantaneous frequency,"Electroacoustics, DSP & Measurement Science"
Complex envelope,"Electroacoustics, DSP & Measurement Science"
Quadrature signal,"Electroacoustics, DSP & Measurement Science"
Time–frequency representation,"Electroacoustics, DSP & Measurement Science"
Continuous wavelet transform,"Electroacoustics, DSP & Measurement Science"
Discrete wavelet transform,"Electroacoustics, DSP & Measurement Science"
Wigner–Ville distribution,"Electroacoustics, DSP & Measurement Science"
Cohen's class,"Electroacoustics, DSP & Measurement Science"
Reassigned spectrogram,"Electroacoustics, DSP & Measurement Science"
Synchrosqueezing,"Electroacoustics, DSP & Measurement Science"
Constant-Q transform,"Electroacoustics, DSP & Measurement Science"
Gammatone transform,"Electroacoustics, DSP & Measurement Science"
Auditory filterbank,"Electroacoustics, DSP & Measurement Science"
Mel-frequency spectrum,"Electroacoustics, DSP & Measurement Science"
Real cepstrum,"Electroacoustics, DSP & Measurement Science"
Complex cepstrum,"Electroacoustics, DSP & Measurement Science"
Power cepstrum,"Electroacoustics, DSP & Measurement Science"
Quefrency,"Electroacoustics, DSP & Measurement Science"
Liftering,"Electroacoustics, DSP & Measurement Science"
Homomorphic analysis,"Electroacoustics, DSP & Measurement Science"
Bispectrum,"Electroacoustics, DSP & Measurement Science"
Bicoherence,"Electroacoustics, DSP & Measurement Science"
Higher-order spectrum,"Electroacoustics, DSP & Measurement Science"
Cyclostationary analysis,"Electroacoustics, DSP & Measurement Science"
Order tracking,"Electroacoustics, DSP & Measurement Science"
Synchronous averaging,"Electroacoustics, DSP & Measurement Science"
Envelope analysis,"Electroacoustics, DSP & Measurement Science"
Spectral kurtosis,"Electroacoustics, DSP & Measurement Science"
Kurtogram,"Electroacoustics, DSP & Measurement Science"
Coherence function,"Electroacoustics, DSP & Measurement Science"
Partial coherence,"Electroacoustics, DSP & Measurement Science"
Multiple coherence,"Electroacoustics, DSP & Measurement Science"
Operational transfer-path analysis,"Electroacoustics, DSP & Measurement Science"
Independent-component analysis,"Electroacoustics, DSP & Measurement Science"
Nonnegative matrix factorization,"Electroacoustics, DSP & Measurement Science"
Metrology,"Electroacoustics, DSP & Measurement Science"
Acoustical metrology,"Electroacoustics, DSP & Measurement Science"
Measurand,"Electroacoustics, DSP & Measurement Science"
Measurement model,"Electroacoustics, DSP & Measurement Science"
Measurement function,"Electroacoustics, DSP & Measurement Science"
Indication,"Electroacoustics, DSP & Measurement Science"
Measurement result,"Electroacoustics, DSP & Measurement Science"
Adjustment,"Electroacoustics, DSP & Measurement Science"
Validation,"Electroacoustics, DSP & Measurement Science"
Traceability,"Electroacoustics, DSP & Measurement Science"
Metrological traceability,"Electroacoustics, DSP & Measurement Science"
Reference standard,"Electroacoustics, DSP & Measurement Science"
Primary standard,"Electroacoustics, DSP & Measurement Science"
Secondary standard,"Electroacoustics, DSP & Measurement Science"
Working standard,"Electroacoustics, DSP & Measurement Science"
Transfer standard,"Electroacoustics, DSP & Measurement Science"
Calibration hierarchy,"Electroacoustics, DSP & Measurement Science"
Standard uncertainty,"Electroacoustics, DSP & Measurement Science"
Combined standard uncertainty,"Electroacoustics, DSP & Measurement Science"
Coverage factor,"Electroacoustics, DSP & Measurement Science"
Coverage probability,"Electroacoustics, DSP & Measurement Science"
Type A evaluation,"Electroacoustics, DSP & Measurement Science"
Type B evaluation,"Electroacoustics, DSP & Measurement Science"
Uncertainty budget,"Electroacoustics, DSP & Measurement Science"
Sensitivity coefficient,"Electroacoustics, DSP & Measurement Science"
Error distribution,"Electroacoustics, DSP & Measurement Science"
Repeatability,"Electroacoustics, DSP & Measurement Science"
Reproducibility,"Electroacoustics, DSP & Measurement Science"
Intermediate precision,"Electroacoustics, DSP & Measurement Science"
Resolution,"Electroacoustics, DSP & Measurement Science"
Accuracy,"Electroacoustics, DSP & Measurement Science"
Precision,"Electroacoustics, DSP & Measurement Science"
Systematic error,"Electroacoustics, DSP & Measurement Science"
Random error,"Electroacoustics, DSP & Measurement Science"
Linearity error,"Electroacoustics, DSP & Measurement Science"
Hysteresis error,"Electroacoustics, DSP & Measurement Science"
Long-term stability,"Electroacoustics, DSP & Measurement Science"
Short-term stability,"Electroacoustics, DSP & Measurement Science"
Calibration correction,"Electroacoustics, DSP & Measurement Science"
Influence quantity,"Electroacoustics, DSP & Measurement Science"
Guard band,"Electroacoustics, DSP & Measurement Science"
Decision rule,"Electroacoustics, DSP & Measurement Science"
Measurement tolerance,"Electroacoustics, DSP & Measurement Science"
