term,final_topic,source_batch
Electronic focusing,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Focal law,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Near-field length,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Dead zone,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Axial resolution,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Lateral resolution,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Doppler shift,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Continuous-wave Doppler,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Pulsed-wave Doppler,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Acoustic radiation-force impulse,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Shear-wave elastography,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Vector hydrophone,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Pressure hydrophone,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Particle-velocity hydrophone,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Sonobuoy,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Towed array,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Hull-mounted array,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Flank array,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Planar sonar array,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Spherical sonar array,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Beamformed sonar,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Active sonar,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Passive sonar,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Multibeam sonar,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Side-scan sonar,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Synthetic-aperture sonar,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Forward-looking sonar,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Echo sounder,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Pinger,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Transponder,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Underwater acoustic modem,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Sound-speed profile,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Thermocline,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
SOFAR channel,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Deep sound channel,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Surface duct,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Bottom bounce,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Convergence zone,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Multipath propagation,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Reverberation level,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Target strength,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Source level,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Detection threshold,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Ambient-noise level,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Cavitation noise,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Array gain,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Directivity gain,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Processing gain,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Matched-field processing,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Photoacoustic effect,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Optoacoustic effect,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Photoacoustic spectroscopy,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Photoacoustic cell,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Resonant photoacoustic cell,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Nonresonant photoacoustic cell,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Laser Doppler vibrometry,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Scanning laser Doppler vibrometry,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Heterodyne interferometry,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Homodyne interferometry,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Optical microphone,Microphone Transduction & Types,Batch 4
Fabry–Pérot microphone,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Mach–Zehnder interferometer,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Michelson interferometer,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Optical phase modulation,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Optical intensity modulation,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Speckle interferometry,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Remote vibrometry,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Surface-velocity measurement,Microphone Transduction & Types,Batch 4
Noncontact vibration measurement,Microphone Transduction & Types,Batch 4
Photothermal excitation,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Photoacoustic imaging,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Optoacoustic tomography,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Laser ultrasonics,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Interferometric displacement sensitivity,"Condenser, MEMS, Arrays & Mic Electronics",Batch 4
Auditory filter,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
ERB,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Critical-band rate,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Mel scale,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Auditory excitation pattern,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Specific loudness,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Loudness level,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Binaural loudness,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Loudness summation,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Spectral loudness summation,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Auditory compression,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Cochlear compression,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Simultaneous masking,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Forward masking,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Energetic masking,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Equalization-cancellation model,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Residue pitch,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Spectral pitch,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Temporal pitch,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Roughness,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Fluctuation strength,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Sensory pleasantness,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Stream segregation,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Auditory object,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Common-fate grouping,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Harmonicity cue,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Onset synchrony,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Spectral spread,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Temporal envelope,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
HRTF,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
HRIR,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Interaural cross-correlation,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Front–back reversal,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Externalization,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Intracranial localization,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Auditory parallax,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Dynamic localization cue,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Head-motion cue,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Spectral notch,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
BRIR,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Binaural synthesis,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Crosstalk cancellation,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Ambisonics,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Spherical harmonic decomposition,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Ambisonic order,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Ambisonic normalization,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Near-field compensation,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Radial filter,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Kirchhoff–Helmholtz integral,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Huygens principle,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Sound-field synthesis,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Sound-zone control,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Personal sound zone,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Acoustic contrast control,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Pressure matching,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Multizone reproduction,"Ultrasonics, Underwater, Spatial & Psychoacoustic Science",Batch 4
Instantaneous amplitude,"DSP, Signal Analysis & Electroacoustic Modeling",Batch 4
Instantaneous phase,"DSP, Signal Analysis & Electroacoustic Modeling",Batch 4
Complex envelope,"DSP, Signal Analysis & Electroacoustic Modeling",Batch 4
Quadrature signal,"DSP, Signal Analysis & Electroacoustic Modeling",Batch 4
Time–frequency representation,"DSP, Signal Analysis & Electroacoustic Modeling",Batch 4
Continuous wavelet transform,"DSP, Signal Analysis & Electroacoustic Modeling",Batch 4
Discrete wavelet transform,"DSP, Signal Analysis & Electroacoustic Modeling",Batch 4
Wigner–Ville distribution,"DSP, Signal Analysis & Electroacoustic Modeling",Batch 4
Cohen's class,"DSP, Signal Analysis & Electroacoustic Modeling",Batch 4
Reassigned spectrogram,"DSP, Signal Analysis & Electroacoustic Modeling",Batch 4
Synchrosqueezing,"DSP, Signal Analysis & Electroacoustic Modeling",Batch 4
Constant-Q transform,"DSP, Signal Analysis & Electroacoustic Modeling",Batch 4
Gammatone transform,"DSP, Signal Analysis & Electroacoustic Modeling",Batch 4
Auditory filterbank,"DSP, Signal Analysis & Electroacoustic Modeling",Batch 4
Mel-frequency spectrum,"DSP, Signal Analysis & Electroacoustic Modeling",Batch 4
Real cepstrum,"DSP, Signal Analysis & Electroacoustic Modeling",Batch 4
Complex cepstrum,"DSP, Signal Analysis & Electroacoustic Modeling",Batch 4
Power cepstrum,"DSP, Signal Analysis & Electroacoustic Modeling",Batch 4
Liftering,"DSP, Signal Analysis & Electroacoustic Modeling",Batch 4
Homomorphic analysis,"DSP, Signal Analysis & Electroacoustic Modeling",Batch 4
Bispectrum,"DSP, Signal Analysis & Electroacoustic Modeling",Batch 4
Bicoherence,"Acoustic/Loudspeaker Measurement, Distortion & Power",Batch 4
Higher-order spectrum,"DSP, Signal Analysis & Electroacoustic Modeling",Batch 4
Cyclostationary analysis,"DSP, Signal Analysis & Electroacoustic Modeling",Batch 4
Order tracking,"DSP, Signal Analysis & Electroacoustic Modeling",Batch 4
Synchronous averaging,"DSP, Signal Analysis & Electroacoustic Modeling",Batch 4
Envelope analysis,"DSP, Signal Analysis & Electroacoustic Modeling",Batch 4
Spectral kurtosis,"DSP, Signal Analysis & Electroacoustic Modeling",Batch 4
Kurtogram,"DSP, Signal Analysis & Electroacoustic Modeling",Batch 4
Partial coherence,"Acoustic/Loudspeaker Measurement, Distortion & Power",Batch 4
Multiple coherence,"Acoustic/Loudspeaker Measurement, Distortion & Power",Batch 4
Operational transfer-path analysis,"DSP, Signal Analysis & Electroacoustic Modeling",Batch 4
Independent-component analysis,"DSP, Signal Analysis & Electroacoustic Modeling",Batch 4
Metrology,"Acoustic/Loudspeaker Measurement, Distortion & Power",Batch 4
Acoustical metrology,"Acoustic/Loudspeaker Measurement, Distortion & Power",Batch 4
Measurand,"Acoustic/Loudspeaker Measurement, Distortion & Power",Batch 4
Measurement model,"Acoustic/Loudspeaker Measurement, Distortion & Power",Batch 4
Measurement function,"Acoustic/Loudspeaker Measurement, Distortion & Power",Batch 4
Indication,"DSP, Signal Analysis & Electroacoustic Modeling",Batch 4
Measurement result,"Acoustic/Loudspeaker Measurement, Distortion & Power",Batch 4
Adjustment,"DSP, Signal Analysis & Electroacoustic Modeling",Batch 4
Validation,"DSP, Signal Analysis & Electroacoustic Modeling",Batch 4
Traceability,"Acoustic/Loudspeaker Measurement, Distortion & Power",Batch 4
Metrological traceability,"Acoustic/Loudspeaker Measurement, Distortion & Power",Batch 4
Reference standard,"Acoustic/Loudspeaker Measurement, Distortion & Power",Batch 4
Primary standard,"Acoustic/Loudspeaker Measurement, Distortion & Power",Batch 4
Secondary standard,"Acoustic/Loudspeaker Measurement, Distortion & Power",Batch 4
Working standard,"Acoustic/Loudspeaker Measurement, Distortion & Power",Batch 4
Transfer standard,"Acoustic/Loudspeaker Measurement, Distortion & Power",Batch 4
Calibration hierarchy,"Acoustic/Loudspeaker Measurement, Distortion & Power",Batch 4
Standard uncertainty,"Acoustic/Loudspeaker Measurement, Distortion & Power",Batch 4
Combined standard uncertainty,"Acoustic/Loudspeaker Measurement, Distortion & Power",Batch 4
Coverage factor,"Acoustic/Loudspeaker Measurement, Distortion & Power",Batch 4
Coverage probability,"Acoustic/Loudspeaker Measurement, Distortion & Power",Batch 4
Type A evaluation,"Acoustic/Loudspeaker Measurement, Distortion & Power",Batch 4
Type B evaluation,"Acoustic/Loudspeaker Measurement, Distortion & Power",Batch 4
Uncertainty budget,"Acoustic/Loudspeaker Measurement, Distortion & Power",Batch 4
Sensitivity coefficient,"DSP, Signal Analysis & Electroacoustic Modeling",Batch 4
Error distribution,"DSP, Signal Analysis & Electroacoustic Modeling",Batch 4
Repeatability,"Acoustic/Loudspeaker Measurement, Distortion & Power",Batch 4
Reproducibility,"Acoustic/Loudspeaker Measurement, Distortion & Power",Batch 4
Intermediate precision,"Acoustic/Loudspeaker Measurement, Distortion & Power",Batch 4
Resolution,"DSP, Signal Analysis & Electroacoustic Modeling",Batch 4
Accuracy,"DSP, Signal Analysis & Electroacoustic Modeling",Batch 4
Precision,"DSP, Signal Analysis & Electroacoustic Modeling",Batch 4
Systematic error,"Acoustic/Loudspeaker Measurement, Distortion & Power",Batch 4
Random error,"Acoustic/Loudspeaker Measurement, Distortion & Power",Batch 4
Linearity error,"Acoustic/Loudspeaker Measurement, Distortion & Power",Batch 4
Hysteresis error,"Acoustic/Loudspeaker Measurement, Distortion & Power",Batch 4
Long-term stability,"DSP, Signal Analysis & Electroacoustic Modeling",Batch 4
Short-term stability,"DSP, Signal Analysis & Electroacoustic Modeling",Batch 4
Calibration correction,"Acoustic/Loudspeaker Measurement, Distortion & Power",Batch 4
Influence quantity,"Acoustic/Loudspeaker Measurement, Distortion & Power",Batch 4
Guard band,"Acoustic/Loudspeaker Measurement, Distortion & Power",Batch 4
Decision rule,"Acoustic/Loudspeaker Measurement, Distortion & Power",Batch 4
Measurement tolerance,"Acoustic/Loudspeaker Measurement, Distortion & Power",Batch 4
Sound as mechanical energy rather than an object,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Sound as pressure variation,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Sound as particle motion,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Difference between particle motion and wave propagation,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Compression and rarefaction,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Longitudinal wave motion,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Transverse-wave diagrams used to represent longitudinal sound,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Equilibrium pressure,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Atmospheric pressure versus acoustic pressure,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Instantaneous acoustic pressure,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Positive and negative pressure deviation,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Acoustic pressure versus electrical voltage,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Energy transfer without bulk transport of matter,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Sound requiring a transmission medium,"Foundations — Sound, Waveform, Level & Phase",Batch 5
"Sound propagation in gases, liquids, and solids","Foundations — Sound, Waveform, Level & Phase",Batch 5
Propagation speed versus particle velocity,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Wavefronts,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Rays as simplified models of propagation,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Plane waves,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Spherical waves,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Cylindrical waves,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Near-field versus far-field behavior,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Free-field conditions,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Diffuse-field conditions,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Steady-state versus transient sound,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Deterministic versus random signals,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Periodic versus aperiodic signals,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Coherent versus incoherent sound,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Correlated versus uncorrelated signals,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Linear versus nonlinear acoustic behavior,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Polarity,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Phase versus polarity,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Peak amplitude,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Peak-to-peak amplitude,"Foundations — Sound, Waveform, Level & Phase",Batch 5
RMS amplitude,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Average amplitude,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Duty cycle,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Waveform symmetry,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Waveform offset,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Direct-current offset,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Time-domain representation,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Frequency-domain representation,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Phase-domain representation,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Complex-number representation of waves,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Real and imaginary signal components,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Sinusoidal motion,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Initial phase,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Phase accumulation,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Phase delay,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Carrier,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Sidebands,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Beats,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Amplitude envelope versus waveform cycles,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Frequency versus perceived pitch,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Harmonic versus inharmonic partials,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Missing fundamental perception,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Pitch ambiguity,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Pitch class,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Octave equivalence,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Octave frequency ratios,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Semitone frequency ratios,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Equal temperament,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Just intonation,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Musical intervals as ratios,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Frequency-to-note conversion,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Critical bands,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Auditory filters,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Place theory of pitch,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Temporal theory of pitch,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Phase locking in hearing,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Pitch perception of complex tones,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Pitch perception of noise,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Linear amplitude versus logarithmic level,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Why decibels are ratios,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Power ratio versus amplitude ratio,"Foundations — Sound, Waveform, Level & Phase",Batch 5
10 log versus 20 log calculations,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Reference quantities,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Absolute versus relative decibels,"Foundations — Sound, Waveform, Level & Phase",Batch 5
dBW,"Foundations — Sound, Waveform, Level & Phase",Batch 5
dBA,"Foundations — Sound, Waveform, Level & Phase",Batch 5
dBC,"Foundations — Sound, Waveform, Level & Phase",Batch 5
dBZ,"Foundations — Sound, Waveform, Level & Phase",Batch 5
LKFS,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Equivalent continuous level,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Peak level versus RMS level,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Average level versus perceived loudness,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Addition of decibel values,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Subtraction of decibel values,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Doubling power versus doubling amplitude,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Doubling distance versus level change,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Doubling sources versus level change,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Power gain,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Nominal operating level,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Maximum operating level,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Signal-to-distortion ratio,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Effective dynamic range,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Meter integration time,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Crest-factor implications,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Loudness versus level,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Loudness adaptation,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Temporal integration of loudness,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Phase as a relative measurement,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Phase shift versus time delay,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Frequency-dependent phase shift,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Constant time delay producing different phase shifts by frequency,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Partial interference,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Cancellation,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Why cancellation is rarely complete,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Comb-filter spacing,"Foundations — Sound, Waveform, Level & Phase",Batch 5
First cancellation frequency,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Phase inversion,"Foundations — Sound, Waveform, Level & Phase",Batch 5
All-pass behavior,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Minimum-phase systems,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Linear-phase systems,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Nonminimum-phase systems,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Excess phase,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Group-delay distortion,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Interchannel phase difference,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Delay versus latency,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Processing delay,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Buffering delay,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Alignment delay,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Localization dominance,"Foundations — Sound, Waveform, Level & Phase",Batch 5
Fusion threshold,"Foundations — Sound, Waveform, Level & Phase",Batch 5
"Relationship among frequency, wavelength, and sound speed","Wave Physics, Propagation & Fields",Batch 5
Why low frequencies have long wavelengths,"Wave Physics, Propagation & Fields",Batch 5
Why wavelength affects room behavior,"Wave Physics, Propagation & Fields",Batch 5
Quarter-wavelength relationships,"Wave Physics, Propagation & Fields",Batch 5
Half-wavelength relationships,"Wave Physics, Propagation & Fields",Batch 5
Boundary spacing and cancellation,"Wave Physics, Propagation & Fields",Batch 5
Loudspeaker spacing and interference,"Wave Physics, Propagation & Fields",Batch 5
Microphone spacing and phase interaction,"Wave Physics, Propagation & Fields",Batch 5
Driver spacing and lobing,"Wave Physics, Propagation & Fields",Batch 5
Acoustic path-length difference,"Wave Physics, Propagation & Fields",Batch 5
Distance-to-phase conversion,"Wave Physics, Propagation & Fields",Batch 5
Frequency-dependent directionality,"Wave Physics, Propagation & Fields",Batch 5
Object size relative to wavelength,"Wave Physics, Propagation & Fields",Batch 5
Diffraction around obstacles,"Wave Physics, Propagation & Fields",Batch 5
Shadow zones,"Wave Physics, Propagation & Fields",Batch 5
Acoustic aperture,"Wave Physics, Propagation & Fields",Batch 5
Effective radiating size,"Wave Physics, Propagation & Fields",Batch 5
Conservation of acoustic energy,"Room, Building & Environmental Acoustics",Batch 5
