term,subject,landing_topic,status,source_batch
Lip-sync defect,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Local-language mix,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Locale fallback,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Locale splitting,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Localization artifact,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Localization premix,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Loop boundary,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Loop length,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Loop preparation,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Loop unit,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
M&E check,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
M&E checker,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
M&E deficiency,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
M&E fill cue,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
M&E repair,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
M&E supplementation,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Market-specific versioning,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Mix-localization defect,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Mouth-closure violation,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Multilingual dubbing,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Narration replacement,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Native-listener QC,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Naturalness defect,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Nonverbal sync,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 1
One-voice dubbing,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Open-vowel matching,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 1
Optional track,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Optional vocal,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Original-language guide,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Overlength line,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Partial dubbing,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Performance-equivalence casting,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Perspective defect,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Phonetic synchrony,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 1
Phrase-sync dubbing,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Pivot-language dubbing,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Politeness recalibration,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Pragmatic equivalence,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Pronunciation drift,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Prosodic phrase alignment,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 1
Prosodic synchrony,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 1
Qualitative synchrony,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 1
Quantitative synchrony,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 1
Ratings-driven adaptation,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Reaction vocal,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 1
Recast continuity,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Register drift,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Register localization,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Relay translation,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Revoicing,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Rhythmographic detection,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Rushed delivery,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Selective dubbing,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Semantic drift,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Simil-sync,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Single-character recording,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Sociolect localization,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Sociolinguistic mapping,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Source-dialogue bleed,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Source-performance shadowing,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Standard voice,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Start-sync error,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Swear-strength matching,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Sync QC,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Sync adaptation,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 1
Sync loss,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Sync window,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 1
Sync-driven distortion,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Taboo calibration,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Technical QC,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Terminology drift,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Timbre matching,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Time-sync dubbing,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Two-voice dubbing,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
UN-style voiceover,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Underlength line,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Vocal continuity break,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Vocal efforts,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 1
Vocal-age matching,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Vocal-bearing ambience,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Vocal-equivalence casting,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Vocal-weight matching,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Vocative adaptation,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Voice casting equivalence,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Voice claim,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Voice continuity,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Voice double,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Voice recast,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Voice-body congruence,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Voice-continuity defect,Film/TV Post & Dialogue,Dubbing & Localization,EXISTING,Batch 2
Accentual synchrony,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Acoustic body,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Action-locked vocal,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Adaptation pass,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Affective synchrony,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Aperture mismatch,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Articulatory anchor,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Attitudinal prosody,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Bilabial correspondence,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Body-voice fit,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Boundary synchrony,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Breath-action synchrony,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Breath-group matching,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Closed-mouth frame,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Closure anchor,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Closure mismatch,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Compression threshold,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Deictic synchrony,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Dialogue adaptation,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Dialogue calque,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Dialogue contamination,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 1
Dialogue guide stem,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 1
Dialogue-free production effect,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 1
Dip track,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 1
Discourse-prosody matching,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Domestic version,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 1
Dubability,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Dubbese,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Dubbing adaptation,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Dubbing cliché,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Effort synchrony,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Emotional synchrony,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Emotional-arc matching,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Emphasis displacement,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Emphasis preservation,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Entry latitude,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Exit latitude,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Expansion threshold,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Flap,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Flap count,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Flap density,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Flap interpolation,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Foreign-version optional,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 1
Fully filled M&E,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 1
Fully undipped stem,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 1
Gesture anchoring,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Gesture synchrony,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Gesture-loaded utterance,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Head-turn synchrony,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Held flap,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Hesitation matching,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Impact synchrony,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Information-focus matching,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Internal synchrony,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Internal timing anchor,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Intonational equivalence,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Intonational rephrasing,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Isochronic adaptation,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Isochronic constraint,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Kinesic synchrony,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Labial synchrony,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Labiodental correspondence,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Language-neutral vocal,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 1
Language-specific effort,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 1
Linguistic condensation,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Linguistic expansion,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Lip-rounding mismatch,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Loose flap,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
M&E editorial pass,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 1
M&E fill,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 1
M&E sweetener,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 1
Mouth-flap matching,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Mouth-open interval,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Music and Effects,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 1
Nodding synchrony,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Nuclear-stress matching,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Open-vowel correspondence,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Optional dialogue,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 1
Oral naturalness,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Partially filled M&E,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 1
Pause redistribution,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Pause synchrony,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Performability pass,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Performance synchrony,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Phonetic synchronization,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Phrase-contour matching,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Phrase-duration matching,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Pragmatic calque,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Pragmatic stress,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Pre-adaptation,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Prefabricated orality,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Prosodic adaptation,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Prosodic alignment,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Prosodic resegmentation,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Prosodic transfer,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Rounded-vowel correspondence,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Segment-duration matching,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Segmentation mismatch,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Silence accommodation,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Source-language calque,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Speakability,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Speech-rate compensation,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Stress relocation,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Structural calque,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Syllabic expansion,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Sync envelope,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Sync latitude,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Sync pass,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Temporal accommodation,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Temporal compression,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Temporal expansion,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Textless vocal,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 1
Tight flap,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Time-slot occupancy,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Tonal contour matching,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Translationese,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Undipped M&E,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 1
Utterance segmentation,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Utterance-duration matching,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Viseme,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Viseme collision,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Viseme matching,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Viseme substitution,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Viseme tolerance,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Visemic compatibility,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Visemic synchrony,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Visual prosody,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Vocal contamination,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 1
Vocal physiognomy,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Vowel anchor,Film/TV Post & Dialogue,"Dubbing — Adaptation, Sync & Deliverables",NEW,Batch 2
Accordion cue,Film/TV Post & Dialogue,Film Scoring,EXISTING,Batch 1
Added value,Film/TV Post & Dialogue,Film Scoring,EXISTING,Batch 1
Agitato,Film/TV Post & Dialogue,Film Scoring,EXISTING,Batch 1
Alternate cue,Film/TV Post & Dialogue,Film Scoring,EXISTING,Batch 1
Andante misterioso,Film/TV Post & Dialogue,Film Scoring,EXISTING,Batch 1
Anempathetic music,Film/TV Post & Dialogue,Film Scoring,EXISTING,Batch 1
Associative orchestration,Film/TV Post & Dialogue,Film Scoring,EXISTING,Batch 1
Atmospheric stem,Film/TV Post & Dialogue,Film Scoring,EXISTING,Batch 1
Audiovisual consonance,Film/TV Post & Dialogue,Film Scoring,EXISTING,Batch 1
Audiovisual counterpoint,Film/TV Post & Dialogue,Film Scoring,EXISTING,Batch 1
Audiovisual dissonance,Film/TV Post & Dialogue,Film Scoring,EXISTING,Batch 1
Avoided synchronization,Film/TV Post & Dialogue,Film Scoring,EXISTING,Batch 1
Beat mapping to picture,Film/TV Post & Dialogue,Film Scoring,EXISTING,Batch 1
Bookend scoring,Film/TV Post & Dialogue,Film Scoring,EXISTING,Batch 1
Button alternate,Film/TV Post & Dialogue,Film Scoring,EXISTING,Batch 1
Cadential genre,Film/TV Post & Dialogue,Film Scoring,EXISTING,Batch 1
Cadential synchronization,Film/TV Post & Dialogue,Film Scoring,EXISTING,Batch 1
Catch beat,Film/TV Post & Dialogue,Film Scoring,EXISTING,Batch 1
Catch point,Film/TV Post & Dialogue,Film Scoring,EXISTING,Batch 1
Change note,Film/TV Post & Dialogue,Film Scoring,EXISTING,Batch 1
Characteristic piece,Film/TV Post & Dialogue,Film Scoring,EXISTING,Batch 1
Chromatic mediant network,Film/TV Post & Dialogue,Film Scoring,EXISTING,Batch 1
Clean tail,Film/TV Post & Dialogue,Film Scoring,EXISTING,Batch 1
Clean top,Film/TV Post & Dialogue,Film Scoring,EXISTING,Batch 1
Click dropout,Film/TV Post & Dialogue,Film Scoring,EXISTING,Batch 1
Click value,Film/TV Post & Dialogue,Film Scoring,EXISTING,Batch 1
Comic hurry,Film/TV Post & Dialogue,Film Scoring,EXISTING,Batch 1
Comic misterioso,Film/TV Post & Dialogue,Film Scoring,EXISTING,Batch 1
Compilation score,Film/TV Post & Dialogue,Film Scoring,EXISTING,Batch 1
Compiled accompaniment,Film/TV Post & Dialogue,Film Scoring,EXISTING,Batch 1
Conductor picture feed,Film/TV Post & Dialogue,Film Scoring,EXISTING,Batch 1
Contractible module,Film/TV Post & Dialogue,Film Scoring,EXISTING,Batch 1
Cue assembly,Film/TV Post & Dialogue,Film Scoring,EXISTING,Batch 1
Cue assembly master,Film/TV Post & Dialogue,Film Scoring,EXISTING,Batch 1
Cue combine,Film/TV Post & Dialogue,Film Scoring,EXISTING,Batch 1
Cue insert,Film/TV Post & Dialogue,Film Scoring,EXISTING,Batch 1
Cue lock,Film/TV Post & Dialogue,Film Scoring,EXISTING,Batch 1
Cue matrix,Film/TV Post & Dialogue,Film Scoring,EXISTING,Batch 1
Cue package,Film/TV Post & Dialogue,Film Scoring,EXISTING,Batch 1
Cue prefix,Film/TV Post & Dialogue,Film Scoring,EXISTING,Batch 1
Cue replacement,Film/TV Post & Dialogue,Film Scoring,EXISTING,Batch 1
Cue revision letter,Film/TV Post & Dialogue,Film Scoring,EXISTING,Batch 1
Cue split,Film/TV Post & Dialogue,Film Scoring,EXISTING,Batch 1
Cue status,Film/TV Post & Dialogue,Film Scoring,EXISTING,Batch 1
Cue suffix,Film/TV Post & Dialogue,Film Scoring,EXISTING,Batch 1
Cue turnover,Film/TV Post & Dialogue,Film Scoring,EXISTING,Batch 1
Cue versioning,Film/TV Post & Dialogue,Film Scoring,EXISTING,Batch 1
Cue-sheet incipit,Film/TV Post & Dialogue,Film Scoring,EXISTING,Batch 1
Curtain music,Film/TV Post & Dialogue,Film Scoring,EXISTING,Batch 1
Cut bar,Film/TV Post & Dialogue,Film Scoring,EXISTING,Batch 1
Dead click,Film/TV Post & Dialogue,Film Scoring,EXISTING,Batch 1
Deferred cadence,Film/TV Post & Dialogue,Film Scoring,EXISTING,Batch 1
Descriptive incidental,Film/TV Post & Dialogue,Film Scoring,EXISTING,Batch 1
Dialogue pocket,Film/TV Post & Dialogue,Film Scoring,EXISTING,Batch 1
Double pass,Film/TV Post & Dialogue,Film Scoring,EXISTING,Batch 1
Double-tonic complex,Film/TV Post & Dialogue,Film Scoring,EXISTING,Batch 1
Editorial compression,Film/TV Post & Dialogue,Film Scoring,EXISTING,Batch 1
Editorial stem,Film/TV Post & Dialogue,Film Scoring,EXISTING,Batch 1
Editorial stretch,Film/TV Post & Dialogue,Film Scoring,EXISTING,Batch 1
Elastic phrase,Film/TV Post & Dialogue,Film Scoring,EXISTING,Batch 1
Electronic sweetener,Film/TV Post & Dialogue,Film Scoring,EXISTING,Batch 1
Empathetic music,Film/TV Post & Dialogue,Film Scoring,EXISTING,Batch 1
Expandable module,Film/TV Post & Dialogue,Film Scoring,EXISTING,Batch 1
False synchronization,Film/TV Post & Dialogue,Film Scoring,EXISTING,Batch 1
Fractional click,Film/TV Post & Dialogue,Film Scoring,EXISTING,Batch 1
Free timing,Film/TV Post & Dialogue,Film Scoring,EXISTING,Batch 1
Furioso,Film/TV Post & Dialogue,Film Scoring,EXISTING,Batch 1
General-use hurry,Film/TV Post & Dialogue,Film Scoring,EXISTING,Batch 1
Genre-coded cadence,Film/TV Post & Dialogue,Film Scoring,EXISTING,Batch 1
